"","edgeid","author","mentioned","degree_author","weight","vertexid","x","y","order"
"117",59,"@ArminLaschet","@bodoramelow",39,38,3,0.961261695938319,0.275637355816999,"1"
"118",59,"@ArminLaschet","@bodoramelow",39,38,6,0.766044443118978,0.642787609686539,"2"
"119",60,"@ArminLaschet","@bueti",39,43,3,0.961261695938319,0.275637355816999,"1"
"120",60,"@ArminLaschet","@bueti",39,43,7,0.669130606358858,0.743144825477394,"2"
"121",61,"@ArminLaschet","@c_lindner",39,1492,3,0.961261695938319,0.275637355816999,"1"
"122",61,"@ArminLaschet","@c_lindner",39,1492,8,0.559192903470747,0.829037572555042,"2"
"123",62,"@ArminLaschet","@CarenLay",39,13,3,0.961261695938319,0.275637355816999,"1"
"124",62,"@ArminLaschet","@CarenLay",39,13,9,0.438371146789077,0.898794046299167,"2"
"125",63,"@ArminLaschet","@cem_oezdemir",39,54,3,0.961261695938319,0.275637355816999,"1"
"126",63,"@ArminLaschet","@cem_oezdemir",39,54,10,0.309016994374947,0.951056516295154,"2"
"127",64,"@ArminLaschet","@FlorianPronold",39,71,3,0.961261695938319,0.275637355816999,"1"
"128",64,"@ArminLaschet","@FlorianPronold",39,71,12,0.0348994967025011,0.999390827019096,"2"
"129",65,"@ArminLaschet","@GoeringEckardt",39,104,3,0.961261695938319,0.275637355816999,"1"
"130",65,"@ArminLaschet","@GoeringEckardt",39,104,13,-0.104528463267654,0.994521895368273,"2"
"131",66,"@ArminLaschet","@groehe",39,2,3,0.961261695938319,0.275637355816999,"1"
"132",66,"@ArminLaschet","@groehe",39,2,14,-0.241921895599668,0.970295726275996,"2"
"133",67,"@ArminLaschet","@Halina_Waw",39,5,3,0.961261695938319,0.275637355816999,"1"
"134",67,"@ArminLaschet","@Halina_Waw",39,5,15,-0.374606593415912,0.927183854566787,"2"
"135",68,"@ArminLaschet","@HanneloreKraft",39,50,3,0.961261695938319,0.275637355816999,"1"
"136",68,"@ArminLaschet","@HanneloreKraft",39,50,16,-0.5,0.866025403784439,"2"
"137",69,"@ArminLaschet","@hubertus_heil",39,50,3,0.961261695938319,0.275637355816999,"1"
"138",69,"@ArminLaschet","@hubertus_heil",39,50,17,-0.615661475325658,0.788010753606722,"2"
"139",70,"@ArminLaschet","@JTrittin",39,23,3,0.961261695938319,0.275637355816999,"1"
"140",70,"@ArminLaschet","@JTrittin",39,23,18,-0.719339800338651,0.694658370458997,"2"
"141",71,"@ArminLaschet","@juergenhardt",39,35,3,0.961261695938319,0.275637355816999,"1"
"142",71,"@ArminLaschet","@juergenhardt",39,35,19,-0.809016994374947,0.587785252292473,"2"
"143",72,"@ArminLaschet","@JuliaKloeckner",39,316,3,0.961261695938319,0.275637355816999,"1"
"144",72,"@ArminLaschet","@JuliaKloeckner",39,316,20,-0.882947592858927,0.469471562785891,"2"
"145",73,"@ArminLaschet","@katjakipping",39,30,3,0.961261695938319,0.275637355816999,"1"
"146",73,"@ArminLaschet","@katjakipping",39,30,21,-0.939692620785908,0.342020143325669,"2"
"147",74,"@ArminLaschet","@KoenigsGruen",39,1,3,0.961261695938319,0.275637355816999,"1"
"148",74,"@ArminLaschet","@KoenigsGruen",39,1,22,-0.978147600733806,0.207911690817759,"2"
"149",75,"@ArminLaschet","@Markus_Soeder",39,2,3,0.961261695938319,0.275637355816999,"1"
"150",75,"@ArminLaschet","@Markus_Soeder",39,2,23,-0.997564050259824,0.0697564737441255,"2"
"151",76,"@ArminLaschet","@MartinSchulz",39,20,3,0.961261695938319,0.275637355816999,"1"
"152",76,"@ArminLaschet","@MartinSchulz",39,20,24,-0.997564050259824,-0.0697564737441253,"2"
"153",77,"@ArminLaschet","@MGrosseBroemer",39,312,3,0.961261695938319,0.275637355816999,"1"
"154",77,"@ArminLaschet","@MGrosseBroemer",39,312,26,-0.939692620785908,-0.342020143325669,"2"
"155",78,"@ArminLaschet","@nouripour",39,53,3,0.961261695938319,0.275637355816999,"1"
"156",78,"@ArminLaschet","@nouripour",39,53,27,-0.882947592858927,-0.469471562785891,"2"
"157",79,"@ArminLaschet","@oezoguz",39,9,3,0.961261695938319,0.275637355816999,"1"
"158",79,"@ArminLaschet","@oezoguz",39,9,28,-0.809016994374948,-0.587785252292473,"2"
"159",80,"@ArminLaschet","@OlafScholz",39,28,3,0.961261695938319,0.275637355816999,"1"
"160",80,"@ArminLaschet","@OlafScholz",39,28,29,-0.719339800338651,-0.694658370458997,"2"
"161",81,"@ArminLaschet","@peter_simone",39,141,3,0.961261695938319,0.275637355816999,"1"
"162",81,"@ArminLaschet","@peter_simone",39,141,30,-0.615661475325658,-0.788010753606722,"2"
"163",82,"@ArminLaschet","@peteraltmaier",39,32,3,0.961261695938319,0.275637355816999,"1"
"164",82,"@ArminLaschet","@peteraltmaier",39,32,31,-0.5,-0.866025403784438,"2"
"165",83,"@ArminLaschet","@petertauber",39,177,3,0.961261695938319,0.275637355816999,"1"
"166",83,"@ArminLaschet","@petertauber",39,177,32,-0.374606593415912,-0.927183854566787,"2"
"167",84,"@ArminLaschet","@PetraPauMaHe",39,5,3,0.961261695938319,0.275637355816999,"1"
"168",84,"@ArminLaschet","@PetraPauMaHe",39,5,33,-0.241921895599668,-0.970295726275996,"2"
"169",85,"@ArminLaschet","@Ralf_Stegner",39,273,3,0.961261695938319,0.275637355816999,"1"
"170",85,"@ArminLaschet","@Ralf_Stegner",39,273,35,0.0348994967025013,-0.999390827019096,"2"
"171",86,"@ArminLaschet","@RegSprecher",39,7,3,0.961261695938319,0.275637355816999,"1"
"172",86,"@ArminLaschet","@RegSprecher",39,7,36,0.17364817766693,-0.984807753012208,"2"
"173",87,"@ArminLaschet","@RenateKuenast",39,328,3,0.961261695938319,0.275637355816999,"1"
"174",87,"@ArminLaschet","@RenateKuenast",39,328,37,0.309016994374947,-0.951056516295154,"2"
"175",88,"@ArminLaschet","@sigmargabriel",39,23,3,0.961261695938319,0.275637355816999,"1"
"176",88,"@ArminLaschet","@sigmargabriel",39,23,38,0.438371146789077,-0.898794046299167,"2"
"177",89,"@ArminLaschet","@SteinbachErika",39,3,3,0.961261695938319,0.275637355816999,"1"
"178",89,"@ArminLaschet","@SteinbachErika",39,3,39,0.559192903470747,-0.829037572555042,"2"
"179",90,"@ArminLaschet","@sven_giegold",39,2,3,0.961261695938319,0.275637355816999,"1"
"180",90,"@ArminLaschet","@sven_giegold",39,2,40,0.669130606358858,-0.743144825477395,"2"
"181",91,"@ArminLaschet","@ThomasOppermann",39,44,3,0.961261695938319,0.275637355816999,"1"
"182",91,"@ArminLaschet","@ThomasOppermann",39,44,42,0.848048096156426,-0.529919264233205,"2"
"183",92,"@ArminLaschet","@tsghessen",39,344,3,0.961261695938319,0.275637355816999,"1"
"184",92,"@ArminLaschet","@tsghessen",39,344,43,0.913545457642601,-0.4067366430758,"2"
"185",93,"@ArminLaschet","@Volker_Beck",39,472,3,0.961261695938319,0.275637355816999,"1"
"186",93,"@ArminLaschet","@Volker_Beck",39,472,44,0.961261695938319,-0.275637355816999,"2"
"187",94,"@b_riexinger","@BaerbelHoehn",39,25,4,0.913545457642601,0.4067366430758,"1"
"188",94,"@b_riexinger","@BaerbelHoehn",39,25,5,0.848048096156426,0.529919264233205,"2"
"189",95,"@b_riexinger","@bodoramelow",39,133,4,0.913545457642601,0.4067366430758,"1"
"190",95,"@b_riexinger","@bodoramelow",39,133,6,0.766044443118978,0.642787609686539,"2"
"191",96,"@b_riexinger","@bueti",39,46,4,0.913545457642601,0.4067366430758,"1"
"192",96,"@b_riexinger","@bueti",39,46,7,0.669130606358858,0.743144825477394,"2"
"193",97,"@b_riexinger","@c_lindner",39,83,4,0.913545457642601,0.4067366430758,"1"
"194",97,"@b_riexinger","@c_lindner",39,83,8,0.559192903470747,0.829037572555042,"2"
"195",98,"@b_riexinger","@CarenLay",39,112,4,0.913545457642601,0.4067366430758,"1"
"196",98,"@b_riexinger","@CarenLay",39,112,9,0.438371146789077,0.898794046299167,"2"
"197",99,"@b_riexinger","@cem_oezdemir",39,89,4,0.913545457642601,0.4067366430758,"1"
"198",99,"@b_riexinger","@cem_oezdemir",39,89,10,0.309016994374947,0.951056516295154,"2"
"199",100,"@b_riexinger","@FlorianPronold",39,44,4,0.913545457642601,0.4067366430758,"1"
"200",100,"@b_riexinger","@FlorianPronold",39,44,12,0.0348994967025011,0.999390827019096,"2"
"201",101,"@b_riexinger","@GoeringEckardt",39,210,4,0.913545457642601,0.4067366430758,"1"
"202",101,"@b_riexinger","@GoeringEckardt",39,210,13,-0.104528463267654,0.994521895368273,"2"
"203",102,"@b_riexinger","@groehe",39,2,4,0.913545457642601,0.4067366430758,"1"
"204",102,"@b_riexinger","@groehe",39,2,14,-0.241921895599668,0.970295726275996,"2"
"205",103,"@b_riexinger","@Halina_Waw",39,6,4,0.913545457642601,0.4067366430758,"1"
"206",103,"@b_riexinger","@Halina_Waw",39,6,15,-0.374606593415912,0.927183854566787,"2"
"207",104,"@b_riexinger","@HanneloreKraft",39,21,4,0.913545457642601,0.4067366430758,"1"
"208",104,"@b_riexinger","@HanneloreKraft",39,21,16,-0.5,0.866025403784439,"2"
"209",105,"@b_riexinger","@hubertus_heil",39,76,4,0.913545457642601,0.4067366430758,"1"
"210",105,"@b_riexinger","@hubertus_heil",39,76,17,-0.615661475325658,0.788010753606722,"2"
"211",106,"@b_riexinger","@JTrittin",39,57,4,0.913545457642601,0.4067366430758,"1"
"212",106,"@b_riexinger","@JTrittin",39,57,18,-0.719339800338651,0.694658370458997,"2"
"213",107,"@b_riexinger","@juergenhardt",39,15,4,0.913545457642601,0.4067366430758,"1"
"214",107,"@b_riexinger","@juergenhardt",39,15,19,-0.809016994374947,0.587785252292473,"2"
"215",108,"@b_riexinger","@JuliaKloeckner",39,109,4,0.913545457642601,0.4067366430758,"1"
"216",108,"@b_riexinger","@JuliaKloeckner",39,109,20,-0.882947592858927,0.469471562785891,"2"
"217",109,"@b_riexinger","@katjakipping",39,756,4,0.913545457642601,0.4067366430758,"1"
"218",109,"@b_riexinger","@katjakipping",39,756,21,-0.939692620785908,0.342020143325669,"2"
"219",110,"@b_riexinger","@Markus_Soeder",39,1,4,0.913545457642601,0.4067366430758,"1"
"220",110,"@b_riexinger","@Markus_Soeder",39,1,23,-0.997564050259824,0.0697564737441255,"2"
"221",111,"@b_riexinger","@MartinSchulz",39,35,4,0.913545457642601,0.4067366430758,"1"
"222",111,"@b_riexinger","@MartinSchulz",39,35,24,-0.997564050259824,-0.0697564737441253,"2"
"223",112,"@b_riexinger","@MGrosseBroemer",39,253,4,0.913545457642601,0.4067366430758,"1"
"224",112,"@b_riexinger","@MGrosseBroemer",39,253,26,-0.939692620785908,-0.342020143325669,"2"
"225",113,"@b_riexinger","@nouripour",39,82,4,0.913545457642601,0.4067366430758,"1"
